Comment,Designator,Footprint,LCSC Part #
1M_DEVICE,U$5,R0603_1PRIMARY,C105578
4K7,U$128 U$129,4K7,C269694
8MHZ_DEVICE,U$2,CRYSTAL-SMD_L11.5-W4.8-LS12.A9PRIMARY,C12674
10K_DEVICE,U$24 U$25 U$28 U$31 U$34,R0603_1PRIMARY,C98220
10UF_DEVICE,U$32 U$33 U$38 U$41 U$45 U$49 U$53 U$57 U$61 U$65 U$69 U$73 U$77 U$81 U$85 U$89 U$93,CAP-SMD_L3.5-W2.8-R-RD_1PRIMARY,C128259
20PF_DEVICE,U$3 U$4 U$7 U$8,C0603_1PRIMARY,C91702
32KHZ_DEVICE,U$6,MC-306_4P-L8.0-W3.2-P5.5-BL_1PRIMARY,C12675
100NF_DEVICE,U$11 U$13 U$14 U$15 U$16 U$17 U$21 U$37 U$39 U$40 U$42 U$44 U$46 U$48 U$50 U$52 U$54 U$56 U$58 U$60 U$62 U$64 U$66 U$68 U$70 U$72 U$74 U$76 U$78 U$80 U$82 U$84 U$86 U$88 U$90 U$92 U$94 U$97 U$98 U$100 U$102 U$104 U$106 U$108 U$110 U$112 U$114 U$116 U$130,C0603_1PRIMARY,C83054
100UF,U$10,CAP-SMD_L6.0-W3.2-R-RD_1PRIMARY,C8649
330UF_DEVICE,U$12,CAP-SMD_L6.0-W3.2-R-RD_1PRIMARY,C11377
510_OHM_DEVICE,U$126 U$127,R0603_1PRIMARY,C365184
BUTTON_DEVICE,U$26,SW-SMD_SMK_JPM1040-XXXXFC_1PRIMARY,C516061
CH340C_DEVICE,U$20,SOP-16_L10.0-W3.9-P1.27-LS6.C7PRIMARY,C84681
DIODE_DEVICE,U$19,SMA_L4.4-W2.8-LS5.4-RD_1PRIMARY,C85588
LED,U$124 U$125,LED0603-RD_1PRIMARY,C389520
PCA9685PCA9685,U$29 U$30,TSSOP-28_L9.7-W4.4-P0.65-LS6FFPRIMARY,C92206
STM32F103_DEVICE,U$1,LQFP-48_L7.0-W7.0-P0.50-LS9.27PRIMARY,C8734
TB6612FNG,U$35 U$36 U$43 U$47 U$51 U$55 U$59 U$63 U$67 U$71 U$75 U$79 U$83 U$87 U$91,SSOP-24_L8.3-W5.6-P0.65-LS7.93PRIMARY,C141517
TSSOP-24_L7.8-W4.4-P0.65-LS652,U$115,TSSOP-24_L7.8-W4.4-P0.65-LS652PRIMARY,C128392
VOLTAGE_REGULATOR,U$9,SOT-223-3_L6.5-W3.4-P2.30-LS59PRIMARY,C6186
